x y0 y1 y2 y3 y4 y5 y6 y7 y8 y9 y10
1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0 1.0
1.0 1.0 1.0075757575757576 1.0151515151515151 1.0227272727272727 1.0303030303030303 1.0378787878787878 1.0454545454545454 1.053030303030303 1.0606060606060606 1.0681818181818181 1.0757575757575757
1.0 1.0 1.0151515151515151 1.0303030303030303 1.0454545454545454 1.0606060606060606 1.0757575757575757 1.0909090909090908 1.106060606060606 1.121212121212121 1.1363636363636362 1.1515151515151514
1.0 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.0 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.025 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.05 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.075 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.1 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.125 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.15 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.175 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.2 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.225 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
1.25 1.0 1.0227272727272727 1.0454545454545454 1.0681818181818181 1.0909090909090908 1.1136363636363635 1.1363636363636362 1.159090909090909 1.1818181818181817 1.2045454545454544 1.227272727272727
